YEAR,Copa_Adelie,Copa_Gentoo,Copa_Chinstrap,CapeShirreff_Chinstrap,CapeShirreff_Gentoo
1977-78,,1929,,,
1978-79,,,,,
1979-80,,,,,
1980-81,,,,,
1981-82,9563,1698,,,
1982-83,7688,1536,,,
1983-84,,,,,
1984-85,8070,2115,,,
1985-86,,2466,,,
1986-87,8559,2400,,,
1987-88,8592,2450,,,
1988-89,9662,2240,,,
1989-90,7588,2157,,,
1990-91,5541,2077,,,
1991-92,5720,2079,2959,,
1992-93,6874,2115,3089,,
1993-94,6219,2182,2834,,
1994-95,5999,1864,2577,,
1995-96,6768,1338,2588,,
1996-97,5643,1406,2305,,
1997-98,5612,1489,2122,7617,810
1998-99,7092,1450,2308,7581,830
1999-00,5432,1677,1821,7744,922
2000-01,5153,2014,2049,7212,975
2001-02,4533,1921,1656,6606,907
2002-03,3877,2311,1731,5809,722
2003-04,3066,2285,1488,5635,750
2004-05,2678,2606,1432,4907,818
2005-06,2393,2616,1295,4847,807
2006-07,2322,3024,1150,4543,780
2007-08,2142,2907,1128,3032,610
2008-09,2577,4117,1128,4026,879
2009-10,2102,3485,825,4339,802
2010-11,2793,4815,1017,4127,833
2011-12,2871,4886,971,4100,829
2012-13,2048,5396,984,4200,853
2013-14,3246,6123,,3582,839
2014-15,2891,5319,,3569,721
