time,prey_type,species_code,num_prey,evidence_size,estimated_prey_length,estimatey_prey_weight
25/01/1992,AMPH,VIBI,2,12,0,0
25/01/1992,AMPH,VIBI,1,12,0,0
4/02/1992,AMPH,VIBI,1,12,0,0
11/01/1993,AMPH,VIBI,4,12,0,0
13/02/1994,AMPH,VIBI,2,12,0,0
7/02/1994,AMPH,VIBI,1,12,0,0
11/01/1995,AMPH,VIBI,1,0,0,0
11/01/1995,AMPH,PAWS,3,0,0,0
11/01/1995,AMPH,PAWS,1,0,0,0
11/01/1995,SQUID,UNKN,1,0,0,0
11/01/1995,AMPH,UNKN,5,0,0,0
17/01/1995,AMPH,PAWS,2,20,0,0
17/01/1995,AMPH,VIBI,25,0,0,0
22/01/1995,AMPH,VIBI,1,0,0,0
18/02/1995,AMPH,UNKN,1,0,0,0
18/02/1995,AMPH,UNKN,1,0,0,0
16/01/1996,AMPH,PAWS,1,0,0,0
22/01/1996,AMPH,VIBI,4,15,0,0
22/01/1996,AMPH,VIBI,5,0,0,0
27/01/1996,AMPH,VIBI,4,15,0,0
27/01/1996,AMPH,VIBI,1,0,0,0
27/01/1996,MYSC,UNKN,1,0,0,0
1/02/1996,AMPH,VIBI,4,0,0,0
6/02/1996,AMPH,VIBI,1,0,0,0
11/02/1996,AMPH,VIBI,3,0,0,0
11/02/1996,AMPH,UNKN,5,0,0,0
17/02/1996,AMPH,VIBI,12,0,0,0
17/02/1996,AMPH,VIBI,28,0,0,0
17/02/1996,AMPH,PAWS,1,0,0,0
11/01/1997,MYSC,UNKN,2,0,0,0
11/01/1997,MYSC,UNKN,1,0,0,0
11/01/1998,AMPH,UNKN,3,0,0,0
11/01/1998,AMPH,VIBI,1,0,0,0
11/01/1998,AMPH,UNKN,1,0,0,0
31/01/1998,AMPH,VIBI,2,0,0,0
31/01/1998,AMPH,VIBI,1,0,0,0
5/02/1998,AMPH,VIBI,1,0,0,0
5/02/1998,AMPH,VIBI,3,0,0,0
6/01/1999,AMPH,UNKN,1,0,0,0
13/01/2000,AMPH,VIBI,1,0,0,0
27/12/2000,AMPH,UNKN,1,0,0,0
12/01/2001,SHRM,UNKN,1,0,0,0
30/01/2001,AMPH,UNKN,1,0,0,0
3/02/2001,AMPH,UNKN,2,0,0,0
3/02/2001,AMPH,UNKN,1,0,0,0
10/02/2001,AMPH,UNKN,3,0,0,0
3/02/2001,SQUID,UNKN,1,0,0,0
28/12/2001,AMPH,UNKN,0,0,0,0
31/01/2002,AMPH,UNKN,0,0,0,0
31/01/2002,AMPH,VIBI,4,0,0,0
9/02/2002,AMPH,SPP1,10,0,0,0
9/02/2002,AMPH,SPP2,2,0,0,0
9/02/2002,AMPH,UNKN,0,0,0,0
22/02/2002,AMPH,UNKN,0,0,0,0
22/12/2002,AMPH,UNKN,1,0,0,0
10/12/2002,AMPH,UNKN,1,0,0,0
5/01/2003,AMPH,VIBI,10,0,0,0
15/01/2003,AMPH,PAWS,1,0,0,0
27/01/2003,AMPH,PAWS,1,0,0,0
27/01/2003,AMPH,VIBI,1,0,0,0
5/02/2004,AMPH,CYLO,2,0,0,1
21/01/2005,AMPH,UNKN,1,0,0,0
1/02/2005,AMPH,UNKN,2,0,0,0
27/12/2005,AMPH,UNKN,4,0,0,0
27/12/2005,AMPH,UNKN,3,0,0,0
11/01/2006,AMPH,PAWS,1,0,0,0
30/01/2006,AMPH,BIGE,1,20,0,0
30/01/2006,AMPH,PAWS,2,0,0,0
7/01/2011,AMPH,UNKN,1,0,0,0
7/01/2011,AMPH,UNKN,1,0,0,0
27/01/2011,AMPH,UNKN,3,0,0,0
27/01/2011,AMPH,UNKN,2,0,22,0
27/01/2011,AMPH,UNKN,4,0,0,0
27/01/2011,AMPH,UNKN,22,0,0,0
26/01/2012,CLAM,UNKN,1,0,0,0
26/01/2012,ISOPOD,UNKN,1,0,0,0
9/01/2013,CLAM,UNKN,1,0,0,0
26/01/2015,SNAILS,UNK,2,0,0,0
25/01/2016,CYLU,AMPH,2,0,0,0
25/01/2016,CYLU,AMPH,1,0,0,0
25/01/2016,PRAB,AMPH,1,0,0,0
15/01/2017,SNAIL,UNKN,1,0,0,0
15/01/2017,CLAM,UNKN,1,0,0,0
3/01/2018,AMPH,EUPR,1,0,0,0
15/01/2018,GAST,SNAIL,1,0,0,0
29/01/2018,AMPH,PAWS,1,0,0,0
